address,is_contract,is_eligible,wallet_balance,sablier_claimable,gauge_claimable,auction_claimable,echo_balance,total_calculated_cove_balance
0xc6ca65dfa134481a0910bbe0bfa9a38c76012217,false,true,17325.442063647039848478,0,0,0,0,17325.442063647039848478
0x17fd68f4f3035a1b51e6e662238784001f76a8f9,false,true,14723.092187667745249778,0,0,0,0,14723.092187667745249778
0x093f4fca4b71912edb33b2d4bb92e5b85658d833,true,false,13558.407936995294934655,0,0,0,0,13558.407936995294934655
0xb5907b7913f4dc10c5c0fc75c570c7d78d16768f,true,false,13541.565222206251100682,0,0,0,0,13541.565222206251100682
0x6f7a6151781f9feac839a7c1d69fc029d654ffc5,false,true,13200.63870730751,0,0,0,0,13200.63870730751
0xc147e72b774ef5ce39b6d77d87a297a2d8804a4d,false,true,12056.000621122647136586,0,0.257035850613507408,0,0,12056.257656973260643994
0xfc4605b7046b3fb512b69ae91918b9305f1c4254,false,true,10871.701841061268349902,0,2.850169933450177732,0,0,10874.552010994718527634
0x731ba6d73718e86d6b12fd373d648862de3f4056,false,true,0,0,10201.809605839176433883,0,0,10201.809605839176433883
0x5a9a201007cde8b95e70c0c0cedd50f26b6ba047,true,true,10000,0,0,0,0,10000
0x5398850a9399da87624874704feaa8a9c6c4089b,false,true,0,0,9456.674737876917867835,0,0,9456.674737876917867835
0x99b40b9b57c370aca09de4f58d26e2dec9086e1b,false,true,8240.994527934526,0,0,0,0,8240.994527934526
0x76337b85c89bb576bf9ca773ebf40a2b057d39fd,false,true,7699.219149087212514109,0,0.019186512665759631,0,0,7699.23833559987827374
0xfa4ebcb83902bb1106b85bb3d4916dfd72e06721,false,true,7352.92620940858839241,0,0,0,0,7352.92620940858839241
0x8c1974c20766c7013c65a026cfd28a7e8f7307be,false,true,7230.904127628893,0,0,0,0,7230.904127628893
0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,false,true,1366.11367289050465212,0,5693.001604599695784139,0,0,7059.115277490200436259
0xb4f99cbce0620227c22b03fdaaae9ae98e1f0180,false,true,6714.723617430288306522,0,1.18094129193389441,0,0,6715.904558722222200932
0xeb788c3fcd60df7687ce55bb20bbcb5238c72133,false,true,6556.8706311188097,0,0,0,0,6556.8706311188097
0x3b10256766a47d39d3ed484cf7c6c10987d0f33a,false,true,5844.2360244744004,0,0,0,0,5844.2360244744004
0x3cc561c1276cccf56d74cc6d65c516ef88a998d2,false,true,5825.190844584822903484,0,0,0,0,5825.190844584822903484
0xb157ee8325ae8e0f5a5907e71c0871fda62748d8,false,true,0,0,5337.698674032010305165,0,0,5337.698674032010305165
0xf3fddc9e2852b857177787dbe53ea9e994c7001a,false,true,5020.881442229271360349,0,0,0,0,5020.881442229271360349
0xaa371e26742290063d92f0bd7197ac2d8d3ac4f1,true,true,0,0,0,4972.521121227345848111,0,4972.521121227345848111
0x361042cb65a69efde49bf68ceca58e4f44d6ced1,false,true,0,0,4140.541413713951355422,0,0,4140.541413713951355422
0xd08b294dbd8bc760c57abdec26515da626511b40,false,true,1222.811863321534381651,0,2908.604768018579484655,0,0,4131.416631340113866306
0xb1246c58ee52c93876a920e23e5f50f29a9a501f,false,true,4106.788509438581057497,0,0,0,0,4106.788509438581057497
0xb758ee178889307fdc2139ccae910902b4febdd0,false,true,0,0,3896.670221551101797711,0,0,3896.670221551101797711
0x64df7af696e0977771a0e1e1b1a8dd22ded3cf4b,false,true,3567.794716572478678155,0,40.821405415557127749,0,0,3608.616121988035805904
0xbed03239b3180534e374729c889aee3b0d08c2ca,false,true,3536.5511587851807,0,0,0,0,3536.5511587851807
0x7e9a6b14e78bf18bd483d208af423b96ab5075a4,false,true,3520.673830892007768785,0,0,0,0,3520.673830892007768785
